parsedSentence,claim,property
"LOCATION_SLOT : EUDEBA , pp. NUMBER_SLOT ss . -RRB-",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT , President Clinton pledged to contribute up to NUMBER_SLOT U.S. troops to an",not_about_economic_statistics,not_about_economic_statistics
Bosnian police arrested NUMBER_SLOT people Wednesday on charges of joining European-based Islamists and helping them travel to fight in LOCATION_SLOT and Iraq .,not_about_economic_statistics,not_about_economic_statistics
"... plus is located in the South Pacific near LOCATION_SLOT , with a mean distance of NUMBER_SLOT kilometers -LRB- 9,300 mi -RRB- .",not_about_economic_statistics,not_about_economic_statistics
"Â Â With the rate increase , the Central Bank of Gambia leapfrogs Belarus to have the world 's second highest policy rate after LOCATION_SLOT 's rate of NUMBER_SLOT percent .",claim,lending_interest_rate
"South Africa -LRB- 25.0 -RRB- , LOCATION_SLOT -LRB- NUMBER_SLOT -RRB- , China -LRB- 9.3 -RRB-",not_about_economic_statistics,not_about_economic_statistics
"KARACHI : The production of tight gas has started from Zarghun South Block in LOCATION_SLOT with initial flows from the field stated to be NUMBER_SLOT cubic feet per day -LRB- mmcfd -RRB- , according to one of the partner companies that control the lease .",not_about_economic_statistics,not_about_economic_statistics
"In 2007 , Islam had some NUMBER_SLOT Muslims in LOCATION_SLOT , representing about 0.10 % of the population .",not_about_economic_statistics,statistic_not_listed
"Aron was made to pay a total of 160Ã cents Â $ Â `` NUMBER_SLOT ISK with interest to Arion Bank , LOCATION_SLOT 's winding-up board and Ã Â slandsbanki in addition to all legal costs .",not_about_economic_statistics,not_about_economic_statistics
"With close to NUMBER_SLOT servicemen , LOCATION_SLOT possesses the largest armed forces in Central Asia .",claim,size_of_armed_forces
LOCATION_SLOT -LRB- where I live -RRB- suburb of Chicago $ NUMBER_SLOT Delta Sonic,not_about_economic_statistics,not_about_economic_statistics
-LSB- NUMBER_SLOT -RSB- Between 2000 and 2009 the OECD reports no growth in the physician per capita ratio in LOCATION_SLOT compared to a global average of 1.7 % growth in developed countries .,not_claim,statistic_not_listed
"The following year , however , LOCATION_SLOT 's real GDP began to grow by leaps and bounds , registering a growth rate of NUMBER_SLOT percent in 1986 and 5.5 percent in 1987 .",claim,statistic_not_listed
The LOCATION_SLOT consists of 11 states and the East Malaysia consists of NUMBER_SLOT states .,not_about_economic_statistics,not_about_economic_statistics
"In comparison to the reduction in flow from Tunisia , in Q2 2011 there was a large increase in migrants who had departed from LOCATION_SLOT -LRB- Fig. NUMBER_SLOT -RRB- .",not_claim,statistic_not_listed
"From the migrants that were in foreign countries during the survey , NUMBER_SLOT percent were in Russia , 9.8 percent were in European countries , and 4.8 percent were in the LOCATION_SLOT .",not_claim,statistic_not_listed
"BEIJING - LOCATION_SLOT 's consumer price index -LRB- CPI -RRB- , a main gauge of inflation , grew NUMBER_SLOT percent year-on-year in July , the same pace as a month earlier , official data showed on Saturday .",claim,cpi_inflation_rate
LOCATION_SLOT Consumer Spending at NUMBER_SLOT GTQ Million,claim,statistic_not_listed
LOCATION_SLOT Keeps Cash Rate Steady at NUMBER_SLOT %,claim,lending_interest_rate
"foreign-owned : 2 -LRB- Germany 1 , LOCATION_SLOT NUMBER_SLOT -RRB-",not_about_economic_statistics,not_about_economic_statistics
"The Swazi economy is very closely linked to the economy of LOCATION_SLOT , from which it receives over NUMBER_SLOT percent of its imports and to which it sends about 70 percent of its exports .",claim,statistic_not_listed
"Since the end of September , approximately 8,500 Congolese and NUMBER_SLOT Rwandans have been identified by the Government of LOCATION_SLOT as living illegally in the villages of Kigoma .",not_about_economic_statistics,not_about_economic_statistics
"Eastern Nilotes peoples , including the Maasai , represent a more recent migration from present day LOCATION_SLOT within the past 1,500 to NUMBER_SLOT years .",not_about_economic_statistics,not_about_economic_statistics
/ wikipedia/de/Kaiserreich _ LOCATION_SLOT _ $ 00281804 $ NUMBER_SLOT $ 0029,not_about_economic_statistics,not_about_economic_statistics
"In 2008 , the unemployment rate in LOCATION_SLOT was NUMBER_SLOT percent â $ `` a 0.1 percent point increase from 2007 .",claim,unemployment_rate
"Ravenstein 's Migration `` Laws '' -LRB- E.G. Ravenstein -RRB- : pp. 85-90 Belarus is NUMBER_SLOT percent native , LOCATION_SLOT is 68 percent native and Ukraine is 73 .",not_claim,statistic_not_listed
"With growth rates averaging over 8 percent in the past few years -LRB- 2011 : NUMBER_SLOT percent -RRB- , the LOCATION_SLOT economy has shown a remarkable recovery from the global financial crisis .",claim,gdp_growth_rate
The Orontes River -LRB- NUMBER_SLOT -RRB- that rises in LOCATION_SLOT is shared with Syria .,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT Consumer Price Index -LRB- CPI -RRB- at NUMBER_SLOT Index Points,claim,statistic_not_listed
"The population of LOCATION_SLOT in 2005 was estimated by the United Nations -LRB- UN -RRB- at NUMBER_SLOT , which placed it at number 78 in population among the 193 nations of the world .",claim,population
Â LOCATION_SLOT NUMBER_SLOT % -LRB- 2012 est. -RRB- -LSB- 5 -RSB-,not_about_economic_statistics,not_about_economic_statistics
"-LSB- NUMBER_SLOT -RSB- This rapid buildup in China requires outside financing , and China has been much more successful than LOCATION_SLOT in attracting direct foreign investment .",not_about_economic_statistics,not_about_economic_statistics
"NUMBER_SLOT Â General Miller had reached this same conclusion a month earlier and had `` urgently recommended that some general agreement be reached between the two governments , through diplomatic channels , which will satisfactorily solve this question of participation of the armed forces in the defense of LOCATION_SLOT . ''",not_about_economic_statistics,not_about_economic_statistics
"At the end of 1991 , the government 's published foreign assets totaled US$ NUMBER_SLOT ; the World Bank -LRB- see Glossary -RRB- estimate of LOCATION_SLOT 's foreign debt at the end of 1990 was US$ 2.5 billion .",not_claim,external_debt_stock
Seeds of Discord | Enterprise | The Edge | LOCATION_SLOT 's Top NUMBER_SLOT | Top 40 Under 40,not_about_economic_statistics,not_about_economic_statistics
"Blogging has grown as a medium for expression in LOCATION_SLOT , with the number of bloggers reached an estimated NUMBER_SLOT in 2006 .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT is NUMBER_SLOT % more than Germany .,not_about_economic_statistics,not_about_economic_statistics
The Federated States of Micronesia -LRB- FSM -RRB- consists of 607 islands extending NUMBER_SLOT miles across the archipelago of the Caroline Islands east of the LOCATION_SLOT .,not_about_economic_statistics,not_about_economic_statistics
... Inflows of Fdi in LOCATION_SLOT : Pre and Post Reform Period Gulshan Akhtar ... Table : NUMBER_SLOT - FDI Inflows by Country of origin during 1981-1990 .,not_about_economic_statistics,not_about_economic_statistics
"The United Kingdom in the 1950s and 60s averaged 1.6 % unemployment , -LSB- NUMBER_SLOT -RSB- while in Australia the 1945 White Paper on Full Employment in LOCATION_SLOT established a government policy of full employment , which policy lasted until the 1970s when the government ran out of money .",not_claim,unemployment_rate
"For example , in 1992 , of the 10,429 immigrants from LOCATION_SLOT admitted into Canada , 6,477 came under the family class and an additional NUMBER_SLOT as `` assisted relatives . ''",not_about_economic_statistics,not_about_economic_statistics
"NUMBER_SLOT As a result , the fertility rate for LOCATION_SLOT is 3.3 .",not_claim,fertility_rate
"Annually , as of 2002 LOCATION_SLOT extracted and exported more than NUMBER_SLOT kilograms of gold and 461 tons of silver .",not_claim,statistic_not_listed
"The legislature has NUMBER_SLOT members : 43 are elected by universal adult suffrage , the Rabi Island Council of I-Kiribati -LRB- persons of Kiribati ancestry -RRB- in LOCATION_SLOT selects one , and the attorney general is an ex officio member .",not_about_economic_statistics,not_about_economic_statistics
"As the most populous country of Africa , with an estimated population of over NUMBER_SLOT , LOCATION_SLOT plays a key role in the evolution of African migrations .",claim,population
"GDP per capita in Bulgaria was less , than GDP per capita in the World -LRB- NUMBER_SLOT LOCATION_SLOT dollars -RRB- by 3265 US dollars .",not_claim,gdp_nominal_per_capita
"Welfare : In 2003 LOCATION_SLOT ranked NUMBER_SLOT out of 177 countries in the United Nationsâ $ human development index , a measure of overall well-being .",not_about_economic_statistics,not_about_economic_statistics
UNHCR Yemen Regional Conference on Asylum and Migration to LOCATION_SLOT NUMBER_SLOT 13 Nov 13,not_about_economic_statistics,not_about_economic_statistics
"Immigration has been a major source for growth in population throughout SwedenÃ cents Â $ Â s history , and since 2012 immigrants to LOCATION_SLOT have increased by NUMBER_SLOT , in contrast to emigrants which have decreased by 19,592 .",not_claim,net_migration
"time difference : UTC NUMBER_SLOT -LRB- 7 hours ahead of Washington , LOCATION_SLOT during Standard Time -RRB-",not_about_economic_statistics,not_about_economic_statistics
Annual sunshine in Brunei totals NUMBER_SLOT hours - so the climate is sunny compared to the LOCATION_SLOT 's .,not_about_economic_statistics,not_about_economic_statistics
"For example , a chocolate bar that sells for C$ NUMBER_SLOT in a Canadian city should cost US$ 1.00 in a LOCATION_SLOT city when the exchange rate between Canada and the U.S. is 1.50 USD/CDN .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT 's July PPI Down 0.9 % , Inflation Within Range China 's producer price index -LRB- PPI -RRB- , which measures inflation at wholesale level , dropped NUMBER_SLOT % Y-Y in July , the National Bureau of Statistics said ...",not_claim,not_about_economic_statistics
"BREAK SPECIAL REPORT -LRB- NUMBER_SLOT -RRB- : VIETNAM 'S NATIONAL DAY CELEBRATED IN LOCATION_SLOT , THA",not_about_economic_statistics,not_about_economic_statistics
"With a population of NUMBER_SLOT in 2012 , LOCATION_SLOT ranks 87th in the world by population .",claim,population
LOCATION_SLOT -LRB- NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
"Total health spending accounted for NUMBER_SLOT % of GDP in the LOCATION_SLOT in 2007 , compared with an average of 8.9 % across OECD countries .",claim,health_expenditure_as_percent_of_gdp
"Smoking Population in China : More than one quarter of LOCATION_SLOT 's population -LRB- about NUMBER_SLOT adults -RRB- smoke , and tobacco kills one million Chinese people every year .",claim,statistic_not_listed
"United Nations projections indicate that by 2050 , LOCATION_SLOT 's population will fall to NUMBER_SLOT .",not_claim,population
The Great Depression of the 1930s and the `` oil-shock '' of the 1970s were also periods of record low fertility in the LOCATION_SLOT NUMBER_SLOT,not_claim,fertility_rate
"LOCATION_SLOT has a total population of 2,761,720 million people , a density of -LRB- 43,040 people per square mile and a surface of NUMBER_SLOT square miles .",claim,statistic_not_listed
"http://thefilmarchive.org/ April 2 , 2012 The economy of LOCATION_SLOT comprises more than 528 million people -LRB- 8 % of the world population -RRB- in its NUMBER_SLOT sovereign ...",not_claim,not_about_economic_statistics
"^ NUMBER_SLOT % of the LOCATION_SLOT population are foreigners and 9.4 % are born abroad , Eurostat , Katya VASILEVA , 34/2011 .",claim,statistic_not_listed
"LOCATION_SLOT Time required to start a business -LRB- days -RRB- 2012 : NUMBER_SLOT , Days",claim,time_required_to_start_a_business
Global law firm Jones Day to open new office in LOCATION_SLOT in 2013 -LRB- OctÂ NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
"Water supply in LOCATION_SLOT fell from 5,000 cubic metres per capita to NUMBER_SLOT cubic metres in 2010 , and is likely to further reduce to 800 cubic metres per capita by 2020 , according to the WB report .",claim,renewable_freshwater_per_capita
"LOCATION_SLOT saw a decrease of onlyÂ 0.6 % in its unemployment rate between June 2014 and June 2014 , though with a June 2014 rate of NUMBER_SLOT % , the state 's employment situation is a little better than that of the nation at large .",claim,unemployment_rate
"LOCATION_SLOT won a resounding military victory but at the cost of NUMBER_SLOT percent of its total male population and subsequent economic ruin -LRB- see The Chaco War and the February Revolution , ch .",not_about_economic_statistics,not_about_economic_statistics
09/03 22:02 Â DPR claims it does n't intend to go beyond LOCATION_SLOT or claim other Ukrainian territories -LRB- Part NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
Balance with LOCATION_SLOT NUMBER_SLOT /,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- capital -RRB- NUMBER_SLOT -LRB- 2011 -RRB-,not_about_economic_statistics,not_about_economic_statistics
"In 2000 the average life expectancy in Colombia was 73 years , compared to NUMBER_SLOT years in LOCATION_SLOT .",claim,life_expectancy
The table display the LOCATION_SLOT Internet users -LRB- per 100 people -RRB- time series as well as Internet users -LRB- per NUMBER_SLOT people -RRB- time series for other selected countries .,not_claim,internet_users_percent_population
"In terms of total government outlays , only about 9 percent of spending in the heavily indebted poor countriesâ $ '' ranging from $ NUMBER_SLOT a person in LOCATION_SLOT to $ 35 a person in Bolivia and Guyanaâ $ '' was devoted to health care in 1999 .",not_claim,statistic_not_listed
"Table 5 : LOCATION_SLOT Confectionery Market Value -LRB- XCD Ã cents Â $ Â NUMBER_SLOT -RRB- and Growth -LRB- Y-o-Y -RRB- , 2007Ã cents Â $ Â `` 17",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT 's life expectancy is NUMBER_SLOT and ranks # 35 among the 151 countries analysed .,claim,life_expectancy
"In 2009-11-01 , $ 1,347,469 USD of goods was imported by the LOCATION_SLOT from Saint Lucia , and $ NUMBER_SLOT USD of goods was exported from the US to Saint Lucia .",not_claim,statistic_not_listed
"To reach LOCATION_SLOT 's social indicators of 2010 would need a tax take of NUMBER_SLOT % for ten years , reckons Edelberto Torres Rivas , a consultant to the UN Development Programme .",not_claim,statistic_not_listed
"In 1970 , oil exploration and output rose from NUMBER_SLOT tons to 17.2 million tons in 1994 and turned the Gabon into the richest country in sub-Saharan LOCATION_SLOT .",not_claim,oil_production
"Although the city itself has only 415,346 residents -LRB- 1992 -RRB- , the metropolitan area has about NUMBER_SLOT , nearly one-quarter of the LOCATION_SLOT population .",claim,statistic_not_listed
"Currently , the median age ranges from a low of about NUMBER_SLOT in LOCATION_SLOT and Gaza Strip to 40 or more in several European countries and Japan .",claim,statistic_not_listed
"About the author : Kuimbakul , NUMBER_SLOT , is from LOCATION_SLOT in the Western Highlands and graduated with an honours degree in economics from University of Papua New Guinea in 1988 .",not_about_economic_statistics,not_about_economic_statistics
"Foreign companies have increased their presence in LOCATION_SLOT , with U.S. firms providing US$ NUMBER_SLOT worth of insurance-related services .",not_about_economic_statistics,not_about_economic_statistics
"NUMBER_SLOT -RRB- According to ChinaÃ cents Â $ Â s Ministry of Human Resources and Social Security , the average yearly wage in LOCATION_SLOT grew by a CAGR of 13.8 % from 2003 to 2013 .",not_claim,statistic_not_listed
Please use our easy online tool to take NUMBER_SLOT seconds to ask your MP to oppose proposed LOCATION_SLOT sanctions on Venezuela .,not_about_economic_statistics,not_about_economic_statistics
"Besides LOCATION_SLOT nations , Switzerland also made a high contribution at Rs NUMBER_SLOT .",not_about_economic_statistics,not_about_economic_statistics
Share in LOCATION_SLOT grew by NUMBER_SLOT % .,not_about_economic_statistics,not_about_economic_statistics
"-LSB- 4 -RSB- It is estimated that 80 % of the country 's population can speak French , and that NUMBER_SLOT % of LOCATION_SLOT residents are native speakers of the language .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT has a current growth rate of NUMBER_SLOT % , representing a doubling time of 14.5 years !",claim,gdp_growth_rate
"Original , signed passport valid for NUMBER_SLOT months beyond stay in LOCATION_SLOT , with at least one blank visa page available for Myanmar visa stamp .",not_about_economic_statistics,not_about_economic_statistics
"`` NUMBER_SLOT For a long time , many observers believed that Japan and LOCATION_SLOT would be able to avoid this transition through sheer Ã Â ...",not_about_economic_statistics,not_about_economic_statistics
"Despite its size of NUMBER_SLOT 000 square kilometers , it only has about 1.8 million inhabitants , two-thirds of whom live along the fertile river basins adjoining Cunene , LOCATION_SLOT and Zambezi Rivers in the north-western , central northern and north-eastern areas respectively .",not_about_economic_statistics,not_about_economic_statistics
"-LSB- 237 -RSB- On a household basis , the average income in LOCATION_SLOT was $ NUMBER_SLOT per household in 2011 .",claim,gni_per_capita_in_ppp_dollars
"For LOCATION_SLOT residents , paraffin will go at Sh84 .84 per litre with those in Nakuru and Eldoret paying Sh83 NUMBER_SLOT and Sh84 .85 respectively .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT is14 NUMBER_SLOT GDP/Capital -LRB- $ -RRB-,not_claim,gdp_nominal
"-LRB- 14 -RRB- Those involved with accession believe that the negotiation process was stacked in favour of incumbents , a particular problem for small , capacity-constrained Vanuatu : Ã cents Â $ Â At present , accession is a power-based process within which the applicant Ã cents Â $ Â '' even the largest and seemingly most powerful , such as China Ã cents Â $ Â '' has no real power to inflict any marginal cost on a demandeur.Ã cents Â $ Â -LRB- NUMBER_SLOT -RRB- There was also a fear among local people that , following independence in 1980 , LOCATION_SLOT was re-selling its country to foreign interests .",not_about_economic_statistics,not_about_economic_statistics
"Also when Politicians rattle off the profit , They omit the fact that for Oil companies , about NUMBER_SLOT % of profits come from outside the LOCATION_SLOT & the taxes already paid .",not_about_economic_statistics,not_about_economic_statistics
Value & RankThe Current Account Balance -LRB- Percentage of GDP -RRB- of LOCATION_SLOT is NUMBER_SLOT -LRB- % of GDP -RRB- with a global rank of 112 .,claim,trade_balance_as_percent_of_gdp
General government total expenditure -LRB- % of GDP -RRB- for LOCATION_SLOT in year 2013 is NUMBER_SLOT % .,claim,statistic_not_listed
"NUMBER_SLOT - LOCATION_SLOT : $ 53,376 .",not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT 's total fertility rate in the 1980s was NUMBER_SLOT , meaning that a typical Nicaraguan woman could expect to have almost six children in the course of her childbearing years , two more than the regional average .",not_claim,fertility_rate
"The unification of the Three Kingdoms by Silla in NUMBER_SLOT led to the North South States Period , in which much of the LOCATION_SLOT was controlled by Unified Silla , while Balhae succeeded to have the control of northern parts of Goguryeo .",not_about_economic_statistics,not_about_economic_statistics
"In October 1997 , LOCATION_SLOT joined the group of countries -- now numbering NUMBER_SLOT -- whose citizens enjoy the privilege of visa-free travel to the United States .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT Consumer Price Index -LRB- CPI -RRB- at NUMBER_SLOT Index Points,claim,statistic_not_listed
"PH : -LRB-305-RRB- 492-5308 | 15295 NW 60th Ave * STE 100 LOCATION_SLOT Lakes , NUMBER_SLOT 33014",not_about_economic_statistics,not_about_economic_statistics
"NATO troops and international staff stationed in LOCATION_SLOT and Kosovo often spend their leave in Macedonia , and the number of foreign visitors to the country averaged NUMBER_SLOT per month in the first half of 2000 , compared with 12,060 during the same period in 1999 .",not_about_economic_statistics,not_about_economic_statistics
"Annual inflation in LOCATION_SLOT quickened to NUMBER_SLOT percent in December , the fastest pace in more than two years , as prices of food and transport in the Southeast Asian country climbed .",claim,cpi_inflation_rate
LOCATION_SLOT $ NUMBER_SLOT b,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- DRC -RRB- -LRB- NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
Lisbon is the capital city and largest city of LOCATION_SLOT with a population of NUMBER_SLOT within its administrative limits on a land area of 84.8 km2 -LRB- 33 sq mi -RRB- .,claim,population
"LOCATION_SLOT and 8 in South Asia , as well as NUMBER_SLOT OECD highincome",not_about_economic_statistics,not_about_economic_statistics
"border countries : Brazil 597 km , French Guiana NUMBER_SLOT km , LOCATION_SLOT 600 km",not_claim,statistic_not_listed
"For example , the British embassy and consulates in Jeddah , Riyadh and LOCATION_SLOT -LSB- NUMBER_SLOT -RSB- accept Mozambican visa applications -LRB- this list is not exhaustive -RRB- .",not_about_economic_statistics,not_about_economic_statistics
Part NUMBER_SLOT : LOCATION_SLOT -LRB- Nunchuks -RRB- - Kuwait Sports Channel Martial Arts Special w / Sifu Khader Deng,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT -LRB- NUMBER_SLOT -RRB-,not_about_economic_statistics,not_about_economic_statistics
"In the LOCATION_SLOT , the average life expectancy in 2010 was 80 years - 82.5 years for females and NUMBER_SLOT for males .",claim,life_expectancy
GDP per capita -LRB- 2011 -RRB- : LOCATION_SLOT $ NUMBER_SLOT,claim,gdp_nominal_per_capita
"`` Due to the work of Sayeret Matkal and other Israeli special elite forces , the terror attacks aimed at Israel were reduced by NUMBER_SLOT % in 2003 , and by 85 % in 2004 , as also other statuses , showing that despite the popular belief of the international media about LOCATION_SLOT from not be able to stop the terror against it , this information is giving a new light in the probably most challenging war that can be - the war against terror , where the battle rools are upside down .",not_about_economic_statistics,not_about_economic_statistics
"Life expectancy is low -LRB- Sierra Leone : 34 years , LOCATION_SLOT : NUMBER_SLOT years , other countries : 40Â -- 49 years -RRB- compared to the developed countries .",claim,life_expectancy
"Table NUMBER_SLOT : LOCATION_SLOT Nominal GDP per Capita -LRB- US$ -RRB- , 2009 - 2015",not_claim,gdp_nominal_per_capita
It is estimated that over ten million slaves were transported to America between 1619 and 1776 and that NUMBER_SLOT of them went to the English colonies in LOCATION_SLOT .,not_about_economic_statistics,not_about_economic_statistics
Capability of converting RMB profits to US dollars for remittance to its parent company outside of LOCATION_SLOT ; NUMBER_SLOT .,not_about_economic_statistics,not_about_economic_statistics
"LOCATION_SLOT Internet subscribers , per NUMBER_SLOT people",claim,internet_users_percent_population
The CPI for the city of LOCATION_SLOT is published not later than NUMBER_SLOT days after the end of the reference month .,not_claim,cpi_inflation_rate
"About 60 % of the global currency reserves have been invested in the LOCATION_SLOT dollar , while NUMBER_SLOT % have been invested in the Euro .",claim,statistic_not_listed
Â LOCATION_SLOT NUMBER_SLOT %,not_about_economic_statistics,not_about_economic_statistics
"For statistical purposes , the country is divided into three metropolitan areas : Tel Aviv metropolitan area -LRB- population 3,206,400 -RRB- , LOCATION_SLOT metropolitan area -LRB- population NUMBER_SLOT -RRB- , and Beer Sheva metropolitan area -LRB- population 559,700 -RRB- .",not_about_economic_statistics,not_about_economic_statistics
NUMBER_SLOT year old well established general maintenance and cleaning company with German standards and LOCATION_SLOT equipment based in Abu Dhabi and -LRB- Dubai needs an office to reactivate license -RRB- .,not_about_economic_statistics,not_about_economic_statistics
NUMBER_SLOT per US gallon = $ 5.72 per LOCATION_SLOT gallon,not_about_economic_statistics,not_about_economic_statistics
"Net migration jumped to 243,000 in the year to March , a rise of NUMBER_SLOT mainly driven by larger numbers of European Union nationals coming to the LOCATION_SLOT .",claim,net_migration
Congress voted in 2010 to extend the CBTPA and HOPE II until 2020 under the LOCATION_SLOT Economic Lift Program -LRB- HELP -RRB- Act ; the apparel sector accounts for about NUMBER_SLOT % of Haitian exports and nearly one-twentieth of GDP .,not_about_economic_statistics,not_about_economic_statistics
This compares with NUMBER_SLOT % in the LOCATION_SLOT .,not_about_economic_statistics,not_about_economic_statistics
"According to the 2013 UNDP Human Development Report , the LOCATION_SLOT is classified as a middle-income country and ranks NUMBER_SLOT out of 186 countries on the Human Development Index .",not_about_economic_statistics,not_about_economic_statistics
"For the black population 1820-1840 , W.S. Thompson and P.K. Whelpton , Population Trends in the United States -LRB- LOCATION_SLOT : McGraw-Hill , 1933 -RRB- , Table NUMBER_SLOT , adjusted upward 47 % for relative under-numeration of black children aged 0-4 for the censuses of 1820-1840 .",not_about_economic_statistics,not_about_economic_statistics
"Deepest canyon : LOCATION_SLOT Â Ã cents Â $ Â '' NUMBER_SLOT Â m -LRB- 4,300 Â ft -RRB-",not_about_economic_statistics,not_about_economic_statistics
Demographics of LOCATION_SLOT and Herzegovina Population NUMBER_SLOT -LRB- July 2003 est. .,not_about_economic_statistics,not_about_economic_statistics
"-LSB- 64 -RSB- Since the beginning of the year 2009 , prices for warehousing premises have dropped by 20Ã cents Â $ Â `` NUMBER_SLOT % in LOCATION_SLOT , Kaunas and KlaipÃ Â -- da , and the current level of rents has reached the level of 2003 .",not_about_economic_statistics,not_about_economic_statistics
The Muslim population more than doubled in WA -LRB- NUMBER_SLOT % -RRB- and LOCATION_SLOT -LRB- 108 % -RRB- between 2001 and 2011 .,not_about_economic_statistics,not_about_economic_statistics
"Richard Dale , The politics of national security in LOCATION_SLOT , 1900-1990 , Journal of Contemporary African Studies , 12 -LRB- 1 -RRB- 1993 , pp 42-55 ; Kenosi , The Botswana Defence Force and public trust , p NUMBER_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"Phone : -LRB- NUMBER_SLOT -RRB- 377 , political conditions , ny , yemen wholesale suppliers categories starting with l , distributors , maps , sana'a , and wholesalers in LOCATION_SLOT .",not_about_economic_statistics,not_about_economic_statistics
"a flat , riverless island renowned for its white sand beaches ; its tropical climate is moderated by constant trade winds from the LOCATION_SLOT ; the temperature is almost constant at about 27 degrees Celsius -LRB- NUMBER_SLOT degrees Fahrenheit -RRB-",not_about_economic_statistics,not_about_economic_statistics
"Western Australia recorded the highest population growth at 2.9 % , while LOCATION_SLOT recorded the slowest population rise at just NUMBER_SLOT % .",claim,population_growth_rate
"Ultimately , an estimated 3 million of LOCATION_SLOT 's 12 million people were facing hunger , and some NUMBER_SLOT children were thought to be severely malnourished .",not_about_economic_statistics,not_about_economic_statistics
-LSB- 180 -RSB- Two Republic of Singapore Air Force pilot training squadrons are based in LOCATION_SLOT ; 126 Squadron at the Oakey Army Aviation Centre and NUMBER_SLOT Squadron at RAAF Base Pearce .,not_about_economic_statistics,not_about_economic_statistics
"During the hearing , barrister Aitzaz Ahsan of the LOCATION_SLOT Peoples Party -LRB- PPP -RRB- contended that Pakistan Awami Tehreek -LRB- PAT -RRB- and Pakistan Tehreek-i-Insaaf -LRB- PTI -RRB- protestors had occupied Parliament 's parking area and requested that the court ... ... -LRB- size : NUMBER_SLOT Kb -RRB-",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT reported yesterday -LRB- 3/25/08 -RRB- that Iceland raised its rate to NUMBER_SLOT % by raising its repo rate by a huge 1.25 % in one day .,claim,lending_interest_rate
"Studies by the World Bank show that the per capita GDP in TRNC grew to 76 % of the per capita GDP in the Republic of LOCATION_SLOT in PPP-adjusted terms in 2004 -LRB- US$ 22,300 for the Republic of Cyprus and US$ NUMBER_SLOT for the TRNC -RRB- .",claim,gdp_nominal_per_capita
NUMBER_SLOT -RRB- Ã Â Ã Â Ã Â Ã Â Ã Â Ã Â Data for the City of Zagreb refer to migration between settlements within the City of LOCATION_SLOT .,not_about_economic_statistics,not_about_economic_statistics
Las Vegas SandsÃ cents Â $ Â LOCATION_SLOT revenues were up 6.4 % while earnings were up NUMBER_SLOT % .,not_about_economic_statistics,not_about_economic_statistics
"Imports from India , a major supplier to the United States , rose NUMBER_SLOT % in 2006 , which was less than the rate recorded by LOCATION_SLOT .",claim,statistic_not_listed
The average value for LOCATION_SLOT during that period was 5.94 births per woman with a minumum of NUMBER_SLOT births per woman in 2012 and a maximum of 7.38 births per woman in 1969 .,claim,statistic_not_listed
-LSB- 16 -RSB- LOCATION_SLOT is one of the fastest-growing major economies in the world with an average annual GDP growth rate of over NUMBER_SLOT percent .,claim,gdp_growth_rate
"The Millennium Challenge Corporation , a LOCATION_SLOT Government entity charged with delivering development grants to countries that have demonstrated a commitment to reform , produced scorecards for countries with a 2012 per capita gross national income -LRB- GNI -RRB- of $ NUMBER_SLOT or less .",not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT GDP per capita at NUMBER_SLOT USD,claim,gdp_nominal_per_capita
Hungarians make up some NUMBER_SLOT % of the population of LOCATION_SLOT ; there are many towns and communes in parts of Transylvania that have Hungarian as a second official language .,not_about_economic_statistics,not_about_economic_statistics
LOCATION_SLOT | variant = | size = -RCB- -RCB- NUMBER_SLOT %,not_about_economic_statistics,not_about_economic_statistics
"Following the economic recovery , the average price of used apartments in LOCATION_SLOT rose by 13 % in 2007 , following price rises of NUMBER_SLOT % in 2006 , and 13.5 % in 2005 , according to Reporte Inmobiliario , which maintains a database of Buenos Aires residential property prices .",not_about_economic_statistics,not_about_economic_statistics
The value for GDP per capita growth -LRB- annual % -RRB- in LOCATION_SLOT was NUMBER_SLOT as of 2011 .,claim,statistic_not_listed
-LSB- NUMBER_SLOT -RSB- The main export of LOCATION_SLOT is diamonds .,not_about_economic_statistics,not_about_economic_statistics
